จังหวัด,เขต,หมายเลข,ชื่อผู้สมัคร,พรรค,คะแนน
กรุงเทพมหานคร,1,1,นายพีรวุฒิ พิมพ์สมฤดี,ประชาธิปัตย์,14813
กรุงเทพมหานคร,1,1,นางสาวลลิดา เพริศวิวัฒนา,ภูมิใจไทย,14368
กรุงเทพมหานคร,1,2,พันตำรวจโทหญิง แสนสุข อุทยานินทร์,เศรษฐกิจ,979
กรุงเทพมหานคร,1,3,นายอัครพล คฤหเดชรัตนา,กล้าธรรม,244
กรุงเทพมหานคร,1,4,นายธนะสิทธิ์ ล้อสุวรรณทีปต์,พลวัต,351
กรุงเทพมหานคร,1,5,นายปารเมศ วิทยารักษ์สรรค์,ประชาชน,34167
กรุงเทพมหานคร,1,6,นายญาณกิตติ์ ห่วงทรัพย์,เพื่อไทย,6030
กรุงเทพมหานคร,1,7,นายภัทรพล หมดมลทิน,ไทยภักดี,1023
กรุงเทพมหานคร,1,8,นายพลัฏฐ์ ศิริกุลพิสุทธิ์,รวมไทยสร้างชาติ,2075
กรุงเทพมหานคร,1,10,นายวีระยุทธ ประกอบการ,ปวงชนไทย,168
กรุงเทพมหานคร,1,11,นายพิเชษฐ์ ไทยนิยม,ไทยสร้างไทย,629
กรุงเทพมหานคร,1,12,นายแทนคุณ จิตอิสระ,โอกาสใหม่,1133
กรุงเทพมหานคร,1,13,นายเลิศชาย สุจริตกุล,วิชชั่นใหม่,113
กรุงเทพมหานคร,1,14,นายมงคล เสมอภาพ,ประชาธิปไตยใหม่,94
กรุงเทพมหานคร,1,15,นายอดัม ชินรัตนพิสิทธิ์,รักชาติ,165
กรุงเทพมหานคร,1,16,นายกานต์ กิตติอำพน,ไทยก้าวใหม่,489
กรุงเทพมหานคร,1,17,นายประสงค์ ประสพโชค,ทางเลือกใหม่,154
กรุงเทพมหานคร,1,18,นายกิตติคุณ ชื่นแย้ม,พลังประชารัฐ,80
กรุงเทพมหานคร,2,2,นายเสกสิทธิ์ แย้มสงวนศักดิ์,ประชาชน,39499
กรุงเทพมหานคร,2,4,นางสาวพัชรินทร์ ชำศิริพงษ์,ภูมิใจไทย,15949
กรุงเทพมหานคร,2,11,นายเจษฎา เลิศธนสาร,ประชาธิปัตย์,14613
กรุงเทพมหานคร,2,5,นายเดวิด มกรพงศ์,เพื่อไทย,5652
กรุงเทพมหานคร,2,7,นายวนัส ฮ้อแสงชัย,รวมไทยสร้างชาติ,1684
กรุงเทพมหานคร,2,9,นางกุลธิภัสร์ ธนวีรชุติวัฒน์,ไทยก้าวใหม่,1358
กรุงเทพมหานคร,2,13,นายกิตติธัช สาสนะ,เศรษฐกิจ,933
กรุงเทพมหานคร,2,6,นายกรณิศ บัวจันทร์,โอกาสใหม่,844
กรุงเทพมหานคร,2,14,นางอิสราพร นรินทร์,ไทยภักดี,807
กรุงเทพมหานคร,2,3,นางสาววิลาสินี แป๊ะสมัน,กล้าธรรม,737
กรุงเทพมหานคร,2,8,นายภูเชษฐ์ เผดิมปราชญ์,ไทยสร้างไทย,590
กรุงเทพมหานคร,2,1,นางสาววรสิริ สุพานิชวรภาชน์,ปวงชนไทย,402
กรุงเทพมหานคร,2,10,นายชุติ ปลื้มรุ่งเรือง,รักชาติ,385
กรุงเทพมหานคร,2,12,นายนิกม์ แสงศิรินาวิน,พลังประชารัฐ,306
กรุงเทพมหานคร,2,15,นายเลิศสุวัฒน์ วงศ์สุวรรณ,เพื่อบ้านเมือง,115
กรุงเทพมหานคร,3,2,นายจรยุทธ จตุรพรประสิทธิ์,ประชาชน,34653
กรุงเทพมหานคร,3,3,นายอภิมุข ฉันทวานิช,ประชาธิปัตย์,19167
กรุงเทพมหานคร,3,12,นายสาโรช ต่อเทียนชัย,ภูมิใจไทย,10331
กรุงเทพมหานคร,3,10,นางสาวเพ็ญพิสุทธิ์ จินตโสภณ,เพื่อไทย,6665
กรุงเทพมหานคร,3,1,นายกันต์ณกฤต ยูนิพันธ์,รวมไทยสร้างชาติ,1430
กรุงเทพมหานคร,3,6,นายชูชาติ ชาญเชิงศิลปกุล,เศรษฐกิจ,1308
กรุงเทพมหานคร,3,7,นายสุกฤษฎิ์ชัย ธีระเริงฤทธิ์,ไทยก้าวใหม่,665
กรุงเทพมหานคร,3,8,นายปรีชา บุดดีจีน,ไทยสร้างไทย,571
กรุงเทพมหานคร,3,9,นายนรุตม์ชัย บุนนาค,กล้าธรรม,545
กรุงเทพมหานคร,3,11,นายณัฐฎ์ รุ่งเรือง,วิชชั่นใหม่,489
กรุงเทพมหานคร,3,4,นายธีระพงษ์ มงคลวัฒนลีลา,พลังประชารัฐ,375
กรุงเทพมหานคร,3,5,นายกิตติพศ ถนอมวรารักษ์,รักชาติ,235
กรุงเทพมหานคร,3,13,นางสาวดวงกมล อดุลย์เศรณี,พลวัต,185
กรุงเทพมหานคร,3,14,นางสาวปัณณรัตน์ พนิตสิรินันท์,โอกาสใหม่,156
กรุงเทพมหานคร,4,2,นายภัณฑิล น่วมเจิม,ประชาชน,34405
กรุงเทพมหานคร,4,1,นายพงศกร ขวัญเมือง,ประชาธิปัตย์,23594
กรุงเทพมหานคร,4,6,นายเขตรัฐ เหล่าธรรมทัศน์,ภูมิใจไทย,10778
กรุงเทพมหานคร,4,4,นางสาวบุณยกร ดำรงรัตน์,เพื่อไทย,4343
กรุงเทพมหานคร,4,12,นายสกลภัทร ประยูรรัตน์,รวมไทยสร้างชาติ,1050
กรุงเทพมหานคร,4,10,นายบุญเกียรติ วิศาลโกศล,เศรษฐกิจ,857
กรุงเทพมหานคร,4,9,ว่าที่ร้อยตรีหญิงปภัสราวรรณ ม่วงไหม,กล้าธรรม,739
กรุงเทพมหานคร,4,3,นายชยพงศ์ สายฟ้า,ไทยก้าวใหม่,708
กรุงเทพมหานคร,4,8,นายรุจิระ อัคราพิริยพงศ์,ไทยสร้างไทย,418
กรุงเทพมหานคร,4,11,นายสรยุทธ ลิขิตอาภากุล,รักชาติ,364
กรุงเทพมหานคร,4,5,นายเรืองไกร ลีกิจวัฒนะ,พลังประชารัฐ,337
กรุงเทพมหานคร,4,7,นายอิทธิพัทธ์ โศภวัฒนาสิริ,ปวงชนไทย,265
กรุงเทพมหานคร,4,13,นางสาวพรพิมล ฉิมสวัสดิ์,โอกาสใหม่,124
กรุงเทพมหานคร,5,6,นายปิติกรณ์ บรรณเภสัช,ประชาชน,45269
กรุงเทพมหานคร,5,4,นายประเดิมชัย บุญช่วยเหลือ,ภูมิใจไทย,22252
กรุงเทพมหานคร,5,12,นายนนธนัตถ์ บุนนาค,ประชาธิปัตย์,10035
กรุงเทพมหานคร,5,13,นายขจรศักดิ์ ประดิษฐาน,เพื่อไทย,6474
กรุงเทพมหานคร,5,8,นางสาวสุภกฤตา ธงไชย,รวมไทยสร้างชาติ,1741
กรุงเทพมหานคร,5,2,นายศุข ศักด์ณรงค์เดช,กล้าธรรม,1056
กรุงเทพมหานคร,5,9,นายมานิตย์ ทองประชาญ,เศรษฐกิจ,987
กรุงเทพมหานคร,5,3,นายประสพ โกมลมาศ,ไทยก้าวใหม่,526
กรุงเทพมหานคร,5,5,นายปณิธิ บวรวนิชยกูร,รักชาติ,569
กรุงเทพมหานคร,5,7,นายปฏิวัติ ตรองจิตต์,ไทยสร้างไทย,507
กรุงเทพมหานคร,5,14,นางสาวเฌอมินทร์ สถิตโอฬารโรจน์,ปวงชนไทย,409
กรุงเทพมหานคร,5,11,นายทนัฏฐ์ ปานโสภณ,พลวัต,245
กรุงเทพมหานคร,5,10,นางสาวบุณยนุช ปทิตหิรัณยา,พลังประชารัฐ,231
กรุงเทพมหานคร,5,1,นายถวิล รัตตะมณี,โอกาสใหม่,220
กรุงเทพมหานคร,5,16,นายวศิน รัตตะรังสี,วิชชั่นใหม่,159
กรุงเทพมหานคร,5,15,นายณัฐสุรัช หงษ์วิจิตปรีชา,เพื่อบ้านเมือง,112
กรุงเทพมหานคร,6,7,นายกัณตภณ ดวงอัมพร,ประชาชน,43239
กรุงเทพมหานคร,6,5,นางสาวศิริภา อินทวิเชียร,ประชาธิปัตย์,12848
กรุงเทพมหานคร,6,11,นายนรเสฏฐ์ เธียรประสิทธิ์,ภูมิใจไทย,12088
กรุงเทพมหานคร,6,4,นางสาวอรพินทร์ เพชรทัต,โอกาสใหม่,10856
กรุงเทพมหานคร,6,14,นายสหัสวรรษ วีระมงคลกุล,เพื่อไทย,6380
กรุงเทพมหานคร,6,6,นายชณทัต ปัทะมะภูวดล,รวมไทยสร้างชาติ,2468
กรุงเทพมหานคร,6,9,นายอัศวิน อัศวินวิจตร,เศรษฐกิจ,1679
กรุงเทพมหานคร,6,10,นายอิง อิงคตานุวัฒน์,ไทยภักดี,1388
กรุงเทพมหานคร,6,12,พลตรีดนัย ดิษาภิรมย์,ไทยสร้างไทย,1306
กรุงเทพมหานคร,6,13,นายโชติพงศ์ สรรเสริญ,ไทยก้าวใหม่,764
กรุงเทพมหานคร,6,1,นายกชพล จิตต์มั่นการ,พลวัต,317
กรุงเทพมหานคร,6,2,นายวรวิช กมลโชติรส,รักชาติ,300
กรุงเทพมหานคร,6,3,นายณรงค์ชัย เมืองครอง,กล้าธรรม,247
กรุงเทพมหานคร,6,12,นายเจนวิทย์ สิริญาณสรณ์,ประชาธิปไตยใหม่,198
กรุงเทพมหานคร,6,16,นางสาวจงชนก พัชรประภากร,ปวงชนไทย,186
กรุงเทพมหานคร,6,15,นายสมชาย คงศิริวงค์,ฟิวชน,127
กรุงเทพมหานคร,7,0,นางสาวภัสริน รามวงศ์,ประชาชน,40962
กรุงเทพมหานคร,7,6,นางลลิตา ฤกษ์สำราญ,ภูมิใจไทย,12037
กรุงเทพมหานคร,7,4,นายชื่นชอบ คงอุดม,รวมไทยสร้างชาติ,11163
กรุงเทพมหานคร,7,1,นายพงศ์พล เตมีย์,ประชาธิปัตย์,8012
กรุงเทพมหานคร,7,3,นายพุฒิพงศ์ อินทรสุวรรณ,เพื่อไทย,6236
กรุงเทพมหานคร,7,13,พลโทมนัส แถบทอง,เศรษฐกิจ,2062
กรุงเทพมหานคร,7,8,ร.ต.อ.วัฒนรักษ์ อำนรรฆสรเดช,พลังประชารัฐ,1406
กรุงเทพมหานคร,7,7,นายศุภฤทธิ์ มั่นนทีรัย,กล้าธรรม,863
กรุงเทพมหานคร,7,5,นางสาวชลิดา สุวรรณโชติ,ไทยสร้างไทย,700
กรุงเทพมหานคร,7,10,นายเรวัตร คงชาติ,ไทยก้าวใหม่,594
กรุงเทพมหานคร,7,11,ร.ต.ต.เสน่ห์ ชัยทร,ฟิวชัน,535
กรุงเทพมหานคร,7,12,นายณพวุฒิ จุลไสย,โอกาสใหม่,323
กรุงเทพมหานคร,7,2,นางกิติมา สิงห์ลา,พลวัต,288
กรุงเทพมหานคร,8,ด,นายชยพล สท้อนดี,ประชาชน,45092
กรุงเทพมหานคร,8,5,นายสุรชาติ เทียนทอง,เพื่อไทย,15868
กรุงเทพมหานคร,8,13,นายฤกษ์อารี นานา,ภูมิใจไทย,14632
กรุงเทพมหานคร,8,14,นายระพีพัฒน์ สุเมธโชติเมธา,ประชาธิปัตย์,11399
กรุงเทพมหานคร,8,15,นางสาวอรัญญา มณีแจ่ม,รวมไทยสร้างชาติ,2266
กรุงเทพมหานคร,8,2,นายจักร์กวินทร์ ภู่สวาสดิ์,ไทยสร้างไทย,1469
กรุงเทพมหานคร,8,11,นายวิษณุ วราโชติเศรษฐ์,เศรษฐกิจ,1352
กรุงเทพมหานคร,8,3,นายชญาพัฒน์ โปร่งปรีชา,ไทยก้าวใหม่,865
กรุงเทพมหานคร,8,6,นายพงศ์ฐิติ พงศ์ศิลามณี,ไทยภักดี,864
กรุงเทพมหานคร,8,7,นายอนุชาญ กวางทอง,พลังประชารัฐ,857
กรุงเทพมหานคร,8,4,นายอนันตชาติ บัวสุวรรณ์,โอกาสใหม่,607
กรุงเทพมหานคร,8,8,นางสาวสุวีรา เติมรุ่งเรืองเลิศ,รักชาติ,462
กรุงเทพมหานคร,8,9,นางสาวพิมพ์ณดา ธีระประจักษ์ชาติ,กล้าธรรม,385
กรุงเทพมหานคร,8,2,นางสาววีริสรา ช่วงยรรยง,ปวงชนไทย,224
กรุงเทพมหานคร,8,b,นายวสันต์ ทองคำ,วิชชั่นใหม่,210
กรุงเทพมหานคร,8,12,นายไชยยศ ศรีสกุล,พลวัต,203
กรุงเทพมหานคร,9,1,นางสาววิเวียน จุลมนต์,ประชาธิปัตย์,11282
กรุงเทพมหานคร,9,2,นางสาววรินทร์ลดา วงศ์ศรีรัฐ,ไทยสร้างไทย,904
กรุงเทพมหานคร,9,3,นายธราธพ ชาตรี,ไทยก้าวใหม่,583
กรุงเทพมหานคร,9,4,นายชัยวัฒน์ โพธิจันทร์,พลวัต,440
กรุงเทพมหานคร,9,5,นายศุภณัฐ มีนชัยนันท์,ประชาชน,49366
กรุงเทพมหานคร,9,6,นางสาวณัฐวรินธร บวรภัควุฒิสิริ,ภูมิใจไทย,17059
กรุงเทพมหานคร,9,7,นางสาวพัชรวณัน เบ็ญจวิทย์วิไล,รักชาติ,615
กรุงเทพมหานคร,9,8,นายสายัณต์ จันทร์เหมือนเผือก,เพื่อไทย,9827
กรุงเทพมหานคร,9,9,นายวัทธิกร หรุ่นศิริ,รวมไทยสร้างชาติ,3308
กรุงเทพมหานคร,9,10,นายรัตนมงคล เลิศทวีวิทย์,กล้าธรรม,334
กรุงเทพมหานคร,9,11,พันโทพีรพงศ์ บัวเทศ,รวมพลังประชาชน,666
กรุงเทพมหานคร,9,12,นายนพพล ปุรณะชัยคีรี,เพื่อบ้านเมือง,192
กรุงเทพมหานคร,9,13,นายสุชาติ ตามประกอบ,ประชาธิปไตยใหม่,281
กรุงเทพมหานคร,9,14,นายปัฐน์ชนนท์ คูณธนานุวัฒน์,โอกาสใหม่,254
กรุงเทพมหานคร,10,6,นายเอกราช อุดมอำนวย,ประชาชน,41804
กรุงเทพมหานคร,10,5,นายภูมิพัฒน์ โหสกุล,เพื่อไทย,19047
กรุงเทพมหานคร,10,9,นางกนกนุช กลิ่นสังข์,โอกาสใหม่,9440
กรุงเทพมหานคร,10,13,นายรณกร เชียรวิชัย,ภูมิใจไทย,7925
กรุงเทพมหานคร,10,2,นายชัยพร แก้ววาตะ,ประชาธิปัตย์,6372
กรุงเทพมหานคร,10,8,นายภูพิพัฒน์ สาวพัฒนะธาดา,รวมไทยสร้างชาติ,2012
กรุงเทพมหานคร,10,1,นายชณธัศน์ เหลืองวัฒนะวุฒิ,เศรษฐกิจ,1437
กรุงเทพมหานคร,10,14,นายไกรศักดิ์ เสาเวียง,ไทยสร้างไทย,636
กรุงเทพมหานคร,10,12,นายรนภัทร นิธิโชติการ,ไทยก้าวใหม่,583
กรุงเทพมหานคร,10,11,นายดิษยะฤทธิ์ รู้ดี,กล้าธรรม,545
กรุงเทพมหานคร,10,4,นายอนุวัตร เผือกเกษม,ประชาธิปไตยใหม่,503
กรุงเทพมหานคร,10,7,นายวรัชณ์กิตต์ วิศาลมนัส,รักชาติ,495
กรุงเทพมหานคร,10,10,ว่าที่ร้อยตรีหญิงภัทราวดี นาคงาม,พลวัต,461
กรุงเทพมหานคร,10,3,พลตำรวจตรีทินกร ณัฏฐมั่งคั่ง,ประชากรไทย,282
กรุงเทพมหานคร,10,15,พลอากาศตรีธงชัย เพ็งเดือน,ความหวังใหม่,203
กรุงเทพมหานคร,10,16,นายสาธิต นีระวงศ์,วิชชั่นใหม่,168
กรุงเทพมหานคร,11,15,นางสาวศศินันท์ ธรรมนิฐินันท์,ประชาชน,38779
กรุงเทพมหานคร,11,7,นางสาวรัตติกาล แก้วเกิดมี,เพื่อไทย,24850
กรุงเทพมหานคร,11,13,นายเอกภพ เหลืองประเสริฐ,ภูมิใจไทย,20498
กรุงเทพมหานคร,11,14,นางสาวรมิดา อินทะแพทย์,ประชาธิปัตย์,3839
กรุงเทพมหานคร,11,8,นางสาวธนาภา อัครมะหะเวทน์,ประชากรไทย,1108
กรุงเทพมหานคร,11,9,นายกร สิงห์ธีร์,รวมไทยสร้างชาติ,996
กรุงเทพมหานคร,11,12,นายธนธรรม เจิดรังษี,เศรษฐกิจ,996
กรุงเทพมหานคร,11,6,นายพงศกร ตันติพรหม,ไทยภักดี,686
กรุงเทพมหานคร,11,11,ร.ต. เทวิน พิมพ์พันธุ์,อนาคตไทย,620
กรุงเทพมหานคร,11,17,ร.ท. จักร์ บุนนาค,โอกาสใหม่,584
กรุงเทพมหานคร,11,5,นางวันเพ็ญ รัตน์นิธิพงศ์,ไทยสร้างไทย,413
กรุงเทพมหานคร,11,16,นายชนะ ยาดี,บ้านเมือง,369
กรุงเทพมหานคร,11,2,นายณรงค์ศักดิ์ ฤทธิวรผล,ไทยก้าวใหม่,332
กรุงเทพมหานคร,11,1,นายธีรวุฒิ แก้วพยศ,พลังประชารัฐ,296
กรุงเทพมหานคร,11,4,นายธีระเดช นาซีก,กล้าธรรม,203
กรุงเทพมหานคร,11,10,น.อ. นที คชทิน,พลวัต,184
กรุงเทพมหานคร,11,3,นายวรัญชัย โชคชนะ,ประชาธิปไตยใหม่,181
กรุงเทพมหานคร,11,18,นายภูริจิวัจน์ วชิรวณิชกิจ,วิชชั่นใหม่,60
กรุงเทพมหานคร,12,15,นายภูริวรรธก์ ใจสำราญ,ประชาชน,49925
กรุงเทพมหานคร,12,1,นางศลิษา สิงหเสนี,ภูมิใจไทย,16106
กรุงเทพมหานคร,12,3,นายภูร์ผา ไทยแท้,เพื่อไทย,15095
กรุงเทพมหานคร,12,12,นางพิมชนก เก่าเจริญ,ประชาธิปัตย์,9527
กรุงเทพมหานคร,12,9,นางสาวนพวรรณ หัวใจมั่น,พลังประชารัฐ,4142
กรุงเทพมหานคร,12,13,นายธนกฤต ธนิศราพงศ์,รวมไทยสร้างชาติ,1776
กรุงเทพมหานคร,12,14,นางสาวกรกมล บุญเฉย,เศรษฐกิจ,1770
กรุงเทพมหานคร,12,7,นางศิริวรรณ พงษ์พานิชย์,ไทยสร้างไทย,1183
กรุงเทพมหานคร,12,16,นายนนท์ปวิธ แก้วงาม,กล้าธรรม,945
กรุงเทพมหานคร,12,2,นางสาวจิดาภา วิไลวรางกูร,ไทยก้าวใหม่,721
กรุงเทพมหานคร,12,5,นางสาวปราณิสา สุดวิเศษ,พลวัต,452
กรุงเทพมหานคร,12,8,นางสาวณัฏฐามณี คณโชติพิพัฒน์,ประชาธิปไตยใหม่,430
กรุงเทพมหานคร,12,6,นางสาวณัฐธยาน์ สิงห์คำนาราภูมิ,ประชากรไทย,434
กรุงเทพมหานคร,12,4,นายพิเชฐ เดชอรัญ,โอกาสใหม่,368
กรุงเทพมหานคร,12,11,นางสาวอิสรีย์ อัศวรากาญจน์,รักชาติ,298
กรุงเทพมหานคร,12,10,นายพุฒิพัฒน์ ธีรสกุลสิทธิ์,ปวงชนไทย,267
กรุงเทพมหานคร,13,7,เรืออากาศโท ธนเดช เพ็งสุข,ประชาชน,44511
กรุงเทพมหานคร,13,1,นายศุกล กุลสิงห์,ภูมิใจไทย,15227
กรุงเทพมหานคร,13,8,นายภาณุพงศ์ ลักษณวิศิษฎ์,ประชาธิปัตย์,11428
กรุงเทพมหานคร,13,2,นายแมน เจริญวัลย์,เพื่อไทย,10752
กรุงเทพมหานคร,13,3,นายกฤษฎ์ เครือเจริญพร,รวมไทยสร้างชาติ,1887
กรุงเทพมหานคร,13,9,นางสาวรุ่งนภา ทองประคำ,เศรษฐกิจ,1413
กรุงเทพมหานคร,13,4,นายฐิติพัฒณ์ จันทร์แก้ว,รักชาติ,1323
กรุงเทพมหานคร,13,6,นายธัญญะ เมษประสาท,ปวงชนไทย,1082
กรุงเทพมหานคร,13,14,นางสาวทิฆัมพร อัศวสิรินิมิต,ไทยสร้างไทย,807
กรุงเทพมหานคร,13,13,นายดนัย อินทรพยุง,ไทยก้าวใหม่,775
กรุงเทพมหานคร,13,5,นายศุรุท เกษมณีภูรเดช,โอกาสใหม่,438
กรุงเทพมหานคร,13,4,นายอนุศักดิ์ กาญจนี,พลวัต,325
กรุงเทพมหานคร,13,12,นายสมบัติ มหาโคตร,พลังประชารัฐ,252
กรุงเทพมหานคร,13,15,นายวัชรพนต์ วัฒนาอาภรณ์ชัย,เพื่อบ้านเมือง,157
กรุงเทพมหานคร,13,16,นายณัษฐพงษ์ วุฒิพงศ์เตชากิจ,วิชชั่นใหม่,131
กรุงเทพมหานคร,14,14,นายก่อเกียรติ ก่อสูงศักดิ์,ประชาชน,41528
กรุงเทพมหานคร,14,1,นางสาวฐิติภัสร์ โชติเดชาชัยนันต์,ภูมิใจไทย,25491
กรุงเทพมหานคร,14,2,นายพงศกร รัตนเรืองวัฒนา,เพื่อไทย,10848
กรุงเทพมหานคร,14,3,ร.อ.พิชาญศักดิ์ บุญมาศ,ประชาธิปัตย์,8186
กรุงเทพมหานคร,14,10,นายปรีชาชัย พิพรรธน์ธนาดุล,รวมไทยสร้างชาติ,1333
กรุงเทพมหานคร,14,8,นายธีรทรัพย์ อภิญญาภรณ์,ไทยสร้างไทย,1299
กรุงเทพมหานคร,14,9,นายธีระยุทธ อรุณพูลทรัพย์,เศรษฐกิจ,1199
กรุงเทพมหานคร,14,11,นางสาวอาภา กลิ่นหอม,ไทยภักดี,694
กรุงเทพมหานคร,14,6,นายศรราม สีบุญเรื่อง,กล้าธรรม,571
กรุงเทพมหานคร,14,3,นายศุภพิพัฒน์ บัลนาลังก์,ไทยก้าวใหม่,485
กรุงเทพมหานคร,14,16,นายอริย์ธัช สายสุวรรณ์,รักชาติ,477
กรุงเทพมหานคร,14,12,นางชนิดาภา สนิมทอง,ปวงชนไทย,354
กรุงเทพมหานคร,14,7,นายรัชฎะ สมรทินกร,พลังประชารัฐ,352
กรุงเทพมหานคร,14,4,นายไชยอนันต์ ตรีไพบูลย์,โอกาสใหม่,291
กรุงเทพมหานคร,14,5,นายกิตติศักดิ์ บุญพิทักษ์วุฒิ,พลวัต,213
กรุงเทพมหานคร,14,15,นายจิรยุทธ บุญแต่ง,ไทยก้าวหน้า,146
กรุงเทพมหานคร,16,10,นางสาวพิมพ์กาญจน์ กีรติวิราปกรณ์,ประชาชน,46021
กรุงเทพมหานคร,16,2,นายณัฐนันท์ กัลยาศิริ,ภูมิใจไทย,15424
กรุงเทพมหานคร,16,7,นายจิรายุ ห่วงทรัพย์,เพื่อไทย,15340
กรุงเทพมหานคร,16,8,นายสุนันท์ มีนมณี,ประชาธิปัตย์,8442
กรุงเทพมหานคร,16,4,นายปิยชาติ โชติช่วง,เศรษฐกิจ,1660
กรุงเทพมหานคร,16,5,นายอัฏฐพล สิทธิชัยอารีกิจ,รวมไทยสร้างชาติ,1648
กรุงเทพมหานคร,16,9,ผู้ช่วยศาสตราจารย์วสันต์ ภู่รัสมี,โอกาสใหม่,1317
กรุงเทพมหานคร,16,11,นายภาคิณ ภูกิจสิริกุล,ไทยก้าวใหม่,1112
กรุงเทพมหานคร,16,6,นายสิรภพ เอื้อชลิตนุกูล,กล้าธรรม,824
กรุงเทพมหานคร,16,12,นายฤทธี กิจพิพิธ,ไทยสร้างไทย,747
กรุงเทพมหานคร,16,3,นายกันตพงศ์ นาคสุวรรณ,ไทยภักดี,626
กรุงเทพมหานคร,16,1,นายหมวดตรีกิติภูมิ นีละไพจิตร์,พลังประชารัฐ,467
กรุงเทพมหานคร,16,13,นายธนพิสิฐ จีรวงศ์ไกรสร,รักชาติ,286
กรุงเทพมหานคร,16,14,นายศุภโชค มุ่งดี,เพื่อบ้านเมือง,153
กรุงเทพมหานคร,16,15,ว่าที่ร้อยตรีรัชภูมิ ใบเรือ,ปวงชนไทย,151
กรุงเทพมหานคร,17,10,นายวีรวุธ รักเที่ยง,ประชาชน,28587
กรุงเทพมหานคร,17,4,นายสุขสันต์ แสงศรี,ภูมิใจไทย,16132
กรุงเทพมหานคร,17,6,นายไพโรจน์ อิสระเสรีพงษ์,เพื่อไทย,12311
กรุงเทพมหานคร,17,8,นายฐิติวัชร์ ดีประเสริฐวงศ์,ประชาธิปัตย์,5611
กรุงเทพมหานคร,17,9,นางสาวณัฐิดา เตาเฟ็ส,ไทยก้าวใหม่,1967
กรุงเทพมหานคร,17,3,นายกรัณ ดรัลพงศ์,รวมไทยสร้าง,1604
กรุงเทพมหานคร,17,15,นางสาวบวรลักษณ์ จงจามรีสีทอง,เศรษฐกิจ,1382
กรุงเทพมหานคร,17,11,นายศิริศักดิ์ อัตดาวีย์,พลังประชารัฐ,864
กรุงเทพมหานคร,17,5,นายมังกร ศิริศรีโพธิ์,ไทยสร้างไทย,773
กรุงเทพมหานคร,17,7,นายธนกิจ สาโสภา,แรงงานสร้างชาติ,745
กรุงเทพมหานคร,17,12,นายนพดลชัย ประภัสสิริ,กล้าธรรม,499
กรุงเทพมหานคร,17,2,นายวุฒิภัทร คำประกอบ,โอกาสใหม่,419
กรุงเทพมหานคร,17,1,นายกิตติศักดิ์ มูลทรัพย์,วิชชั่นใหม่,358
กรุงเทพมหานคร,17,13,นายสุวโรจน์ กิจสมศักดิ์,ปวงชนไทย,246
กรุงเทพมหานคร,17,14,นายชัยพร จิตรอารีย์เลิศ,เพื่อบ้านเมือง,222
กรุงเทพมหานคร,18,10,นายธีรัจชัย พันธุมาศ,ประชาชน,34738
กรุงเทพมหานคร,18,4,นายศิริพงษ์ รัสมี,เพื่อไทย,20414
กรุงเทพมหานคร,18,5,นายรณชัย สังฆมิตกล,ภูมิใจไทย,8326
กรุงเทพมหานคร,18,7,นายเชิดพันธุ์ เตี้ยไพบูลย์,ประชาธิปัตย์,6654
กรุงเทพมหานคร,18,9,นายฮาซัน วันนุ,รวมไทยสร้างชาติ,3260
กรุงเทพมหานคร,18,6,นายธีระวิทย์ วงศ์เพชร,ไทยก้าวใหม่,1781
กรุงเทพมหานคร,18,11,นางสาวณัฐกัญญ์ภา อภิญญ์มณีณัฐ,ไทยสร้างไทย,1732
กรุงเทพมหานคร,18,8,นายสุรชาติ โต๊ะเฮ,ทางเลือกใหม่,496
กรุงเทพมหานคร,18,16,นายกิตติศักดิ์ อัศวสุขี,พลวัต,436
กรุงเทพมหานคร,18,3,นายฟาวาดคาน เที่ยงธรรม,รักชาติ,372
กรุงเทพมหานคร,18,1,นางสาวพชรพรรณ ตุ่มระสินปิน,พลังประชารัฐ,359
กรุงเทพมหานคร,18,2,นายเสน่ห์ ศิลปเจริญ,ไทยชนะ,338
กรุงเทพมหานคร,18,15,นายจำรัส การะเกตุ,แรงงานสร้างชาติ,285
กรุงเทพมหานคร,18,14,นายณรงค์ชัย อิสริยไชย,ปวงชนไทย,225
กรุงเทพมหานคร,18,18,นางสาววรัญญา แอนดาริส,โอกาสใหม่,211
กรุงเทพมหานคร,18,13,นายวิญญู อำนวยสมบัติ,กล้าธรรม,210
กรุงเทพมหานคร,18,17,นางสาวสมพิศ ภูมิงาม,เพื่อบ้านเมือง,196
กรุงเทพมหานคร,18,12,นางสาวพวงประกา ชมภูทอง,พร้อม,171
กรุงเทพมหานคร,19,6,นายกันต์พงษ์ ประยูรศักดิ์,ประชาชน,42820
กรุงเทพมหานคร,19,7,นางสาวกาญจนา ภวัครานนท์,ภูมิใจไทย,17802
กรุงเทพมหานคร,19,9,นางสาวขวัญจิรา มีนชัยนันท์,เพื่อไทย,13271
กรุงเทพมหานคร,19,11,นางสาวกานต์ วนาดรวรวิศาล,ประชาธิปัตย์,10234
กรุงเทพมหานคร,19,8,นายภูเบศ โพธิ์โซะ,รวมไทยสร้างชาติ,2415
กรุงเทพมหานคร,19,10,นายนิยม ทรัพย์สิรินาวิน,เศรษฐกิจ,1607
